;Number of cuts;Length of X;K fold;Train error;Train var. error;Train bias error;Train list errors;Test error;Test var. error;Test bias error;Test list errors
0;3;480;2;0.0274685;7.404602500000003e-07;0.16573400236448163;[0.026608, 0.028329];0.212108;2.4147396000000018e-05;0.4605256264357066;[0.217022, 0.207194]
1;3;480;3;0.02845366666666667;4.770575555555555e-07;0.1686807327738148;[0.028271, 0.029376, 0.027714];0.17675633333333332;5.066775822222229e-05;0.42036373008992;[0.183263, 0.180155, 0.166851]
2;3;480;4;0.02956225;1.8454118750000008e-07;0.17193622497546146;[0.028825, 0.02989, 0.029808, 0.029726];0.16924275;2.6166848187499982e-05;0.4113594330409995;[0.175862, 0.171717, 0.167283, 0.162109]
3;3;480;5;0.029777599999999998;8.330122400000013e-07;0.1725594592821848;[0.02864, 0.031026, 0.028945, 0.030562, 0.029715];0.16160559999999996;2.6259669840000023e-05;0.4019693275987112;[0.170567, 0.164101, 0.157376, 0.157376, 0.158608]
4;3;480;6;0.02975916666666667;5.156348055555562e-07;0.1725069593722558;[0.028899, 0.029931, 0.030596, 0.030301, 0.028675, 0.030153];0.15834166666666669;6.389788255555555e-05;0.3978413864646451;[0.165127, 0.153363, 0.17221, 0.150776, 0.150407, 0.158167]
5;3;480;7;0.030239428571428573;8.991319591836735e-07;0.17389229263963768;[0.030754, 0.030466, 0.030969, 0.029173, 0.030392, 0.028524, 0.031398];0.15717142857142857;8.939855673469389e-06;0.396437244360006;[0.159483, 0.159052, 0.160345, 0.159483, 0.152652, 0.153083, 0.156102]
6;3;480;8;0.030292250000000003;4.266609375000003e-07;0.174045463425688;[0.031604, 0.029633, 0.030196, 0.030689, 0.030478, 0.030124, 0.029279, 0.030335];0.15261375000000002;3.0016963687499956e-05;0.3906196782502291;[0.149261, 0.159606, 0.157635, 0.156158, 0.150739, 0.156727, 0.142435, 0.148349]
7;4;240;2;0.0348585;1.2243422499999996e-06;0.1867010328245401;[0.033752, 0.035965];0.2741885;9.379922499999676e-07;0.5236292218810463;[0.275157, 0.27322]
8;4;240;3;0.03880033333333333;6.881742222222263e-07;0.19697625531802332;[0.038803, 0.039815, 0.037783];0.239699;7.302088666666673e-06;0.489583187937794;[0.243118, 0.239468, 0.236511]
9;4;240;4;0.03984725;1.249681187500001e-06;0.19961462952101608;[0.038269, 0.040729, 0.041058, 0.039333];0.22898325;9.266301874999938e-07;0.47852097484834716;[0.227833, 0.228381, 0.230352, 0.229367]
10;4;240;5;0.0410944;6.294814400000014e-07;0.20271598486197384;[0.040727, 0.040111, 0.041493, 0.042417, 0.040724];0.2206064;4.904469424000004e-05;0.4696353429052801;[0.220135, 0.231527, 0.220511, 0.209424, 0.221435]
11;4;240;6;0.04127616666666666;2.4153813888888945e-07;0.20316477334549848;[0.041168, 0.041091, 0.042052, 0.041386, 0.041534, 0.040426];0.21746583333333336;3.889588513888892e-05;0.4662906147974613;[0.221278, 0.223577, 0.216556, 0.216925, 0.20473, 0.221729]
12;4;240;7;0.04161285714285715;3.6500869387755036e-07;0.20399140210843025;[0.042035, 0.040742, 0.041891, 0.042107, 0.042247, 0.040667, 0.041601];0.2141405714285714;1.486264938775512e-05;0.4627371919126273;[0.215517, 0.215086, 0.219397, 0.206034, 0.213885, 0.212592, 0.216473]
